National code	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	21	NYS	뉴욕	DBRG	NYSDBRG	디지털브리지 그룹	DIGITALBRIDGE GROUP INC	2	USD	4		14.18	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DBRG/H	NYSDBRG/H	디지털브리지 그룹 우선주 H(7.125% 누적 상환)	DIGITALBRIDGE GROUP INC 7.125% CUM RED PERP PREF STK SER H	2	USD	4		24.54	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DBRG/I	NYSDBRG/I	디지털브리지 그룹 우선주 I(7.150% 누적 상환)	DIGITALBRIDGE GROUP INC 7.15% CUM RED PERP PREF STK SER I	2	USD	4		24.95	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DBRG/J	NYSDBRG/J	디지털브리지 그룹 우선주 J(7.125% 누적 상환)	DIGITALBRIDGE GROUP INC 7.125% CUM RED PERP PREF STK SER J	2	USD	4		24.4701	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DCF	NYSDCF	BNY MELLON ALCENTRA GLOBAL CREDIT INCOME 2024 TARGET FUND	BNY MELLON ALCENTRA GBL CR INM 2024	3	USD	4		9.1547	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	DCI	NYSDCI	도널드슨	DONALDSON CO INC	2	USD	4		73.17	1	1	930	1600	N		230	0	0	   	   
US	21	NYS	뉴욕	DCO	NYSDCO	듀코먼	DUCOMMUN INC	2	USD	4		66.59	1	1	930	1600	N		210	0	1	   	   
US	21	NYS	뉴욕	DD	NYSDD	듀폰	DUPONT DE NEMOURS INC	2	USD	4		83.18	1	1	930	1600	N		110	0	0	   	   
US	21	NYS	뉴욕	DDD	NYSDDD	3D 시스템스	3D SYSTEMS CORPORATION	2	USD	4		2.62	1	1	930	1600	N		730	0	0	   	   
US	21	NYS	뉴욕	DDL	NYSDDL	딩동 케이먼(ADR)	DINGDONG CAYMAN LTD SPON ADS EACH REP 1.5 ORS SHS	2	USD	4		2.74	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DDS	NYSDDS	딜라드	DILLARDS INC	2	USD	4		367.51	1	1	930	1600	N		380	0	1	   	   
US	21	NYS	뉴욕	DDT	NYSDDT	딜라드 캐피털 트러스트 우선주(7.500%)	DILLARDS CAP TR I 7.5% PRF CAP SECS USD25	2	USD	4		26.07	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DE	NYSDE	디어	DEERE & CO	2	USD	4		409.73	1	1	930	1600	N		230	0	0	   	   
US	21	NYS	뉴욕	DEA	NYSDEA	이스털리 거번먼트 프라퍼티스	EASTERLY GOVERNMENT PROPERTIES INC	2	USD	4		13.75	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	DEC	NYSDEC	다이버시파이드 에너지	DIVERSIFIED ENERGY COMPANY PLC	2	USD	4		11.66	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DECK	NYSDECK	덱커 아웃도어	DECKERS OUTDOOR CORP	2	USD	4		152.11	1	1	930	1600	N		330	0	1	   	   
US	21	NYS	뉴욕	DEI	NYSDEI	더글러스 에밋	DOUGLAS EMMETT INC	2	USD	4		17.49	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	DELL	NYSDELL	델 테크놀로지스	DELL TECHNOLOGIES INC	2	USD	4		117.77	1	1	930	1600	N		730	0	0	   	   
US	21	NYS	뉴욕	DEO	NYSDEO	디아지오(ADR)	DIAGEO PLC ADR EA REPR 4 ORD GBX28.935185	2	USD	4		135.86	1	1	930	1600	Y	GB	410	0	0	   	   
